units,meters,,,,,,,,,,,,,,,
horizons,S_Flr,,,,b_tertiary,,,,b_Chlk,,,,b_jur,,,
;,x,y,t,d,x,y,t,d,x,y,t,d,x,y,t,d
well1,210000,9069500,1619,1210,#,#,2459,1815,#,#,2898,2205,#,#,6898,10456
well2,212500,9057000,2206,1638,#,#,3135,2469,#,#,3499,2905,#,#,5389,6699
well3,218000,9037000,1258,947,#,#,1840,1424,#,#,2748,2359,#,#,6183,9250
well4,232000,9055000,1590,1166,#,#,2423,1964,#,#,2879,2524,#,#,4460,5550
well5,235000,9040000,1522,1112,#,#,2611,2138,#,#,2700,2240,#,#,4518,6240
well6,230000,9070500,1599,1211,#,#,2801,2297,#,#,3083,2619,#,#,4871,6016
well7,247000,9057000,1277,942,#,#,2496,2150,#,#,3200,3080,#,#,3900,4642

; VelocityManager well data format,,,,,,,,,,,,,,,,

"; The units line must be included, use ""feet"" or ""metric"" to indicate units",,,,,,,,,,,,,,,,
"; The horizons line must start with ""horizons"" in the first column, then list the horizon names",,,,,,,,,,,,,,,,
"; Each well must list the name, then the x, y, time, depth values for each horizon",,,,,,,,,,,,,,,,
"; A ""#"" symbol for time/depth values indicates a pseudo value"
";  xy values must be entered for the first horizon, and where absent copy from a subsequent horizon."
"; A ""#"" symbol for x/y values indicates use the value from previous column (useful for vertical wells)"
";  empty cells not permitted, enter a #"
; -9999 indicates a null value for time/depth
