units,meters,,,,,,,,,,,,,,,
horizons,hor1,,,,hor2,,,,hor3,,,,hor4,,,
;,x,y,tw-time,depth,x,y,tw-time,depth,x,y,tw-time,depth,x,y,tw-time,depth
Well-1,780195,3924751,557,850,780195,3924751,959,1462,780195,3924751,1470,2484,780195,3924751,1655,2854
Well-3,788407,3916840,516,763,788434,3916837,959,1409,788492,3916832,1595,2710,788505,3916831,1794,3117
Well-4,786397,3915617,429,614,786379,3915620,931,1330,786325,3915624,1592,2664,786313,3915624,1821,3126
Well-5,775757,3915268,394,535,775757,3915268,709,979,775757,3915268,1393,2277,775757,3915268,1403,2296
Well-6,789422,3913385,379,540,789432,3913389,1086,1568,789382,3913373,1630,2715,789349,3913365,1840,3158
Well-7,784687,3915370,446,638,784683,3915369,891,1273,784606,3915376,1538,2572,784560,3915373,#,#
Well-8,785373,3916689,461,657,785359,3916690,858,1223,785240,3916666,1534,2568,785211,3916662,1783,3069
Well-9,790478,3918721,723,1185,790478,3918721,983,1601,790478,3918721,1299,2225,790478,3918721,1799,3212
Well-10,779193,3914610,434,592,779193,3914610,728,1024,779193,3914610,#,2178,779193,3914610,1740,#
Well-11,781778,3914680,456,647,781773,3914670,789,1126,781717,3914602,1397,2305,781742,3914642,1779,3067
Well-12,805070,3915951,278,369,805070,3915951,910,1239,805070,3915951,1068,1524,805070,3915951,1804,2852
Well-13,792123,3916614,491,721,792123,3916614,1025,1507,792123,3916614,#,2475,792123,3916614,1783,#
Well-14,792500,3913484,329,460,792500,3913484,1218,1767,792500,3913484,1775,2989,792500,3913484,1805,#
Well-15,793314,3915981,375,534,793333,3915979,938,1361,793343,3915971,1255,2001,793401,3915799,1738,2976
Well-16,800069,3915880,277,369,800069,3915880,910,1247,800069,3915880,1072,1538,800069,3915880,1811,#
Well-17,778608,3926843,118,145,778608,3926843,946,1285,778608,3926843,1100,1551,778608,3926843,1578,-9999
well-18,777250,3920000,405,#,777250,3920000,505,#,777250,3920000,#,#,777250,3920000,#,#
Well-19,775374,3926737,#,184,775374,3926737,1006,1425,775374,3926737,#,1620,775374,3926737,1590,2460
Well-21,787702,3926457,347,485,787702,3926457,545,768,787702,3926457,-9999,-9999,787702,3926457,1231,2571
Well-22,781347,3907305,640,982,781347,3907305,988,1497,781347,3907305,1284,2075,781347,3907305,1669,2815
Well-23,778891,3910697,422,569,778891,3910697,741,1032,778891,3910697,-9999,2055,778891,3910697,1606,2638
Well-24,806536,3906956,231,296,806536,3906956,955,1295,806536,3906956,1651,2699,806536,3906956,1862,3125


; VelocityManager well data format,,,,,,,,,,,,,,,,

"; The units line must be included, use ""feet"" or ""metric"" to indicate units",,,,,,,,,,,,,,,,
"; The horizons line must start with ""horizons"" in the first column, then list the horizon names",,,,,,,,,,,,,,,,
"; Each well must list the name, then the x, y, time, depth values for each horizon",,,,,,,,,,,,,,,,
"; A ""#"" symbol for time/depth values indicates a pseudo value"
";  xy values must be entered for the first horizon, and where absent copy from a subsequent horizon."
"; A ""#"" symbol for x/y values indicates use the value from previous column (useful for vertical wells)"
";  empty cells not permitted, enter a #"
; -9999 indicates a null value for time/depth
